City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cotonou,BJ,80.58,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
1,Pizarro,CO,79.27,broken clouds,4.9533,-77.366,Hotel Limonar
2,Atuona,PF,78.31,scattered clouds,-9.8,-139.0333,Villa Enata
3,Ribeira Grande,PT,69.93,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
4,Rikitea,PF,73.96,clear sky,-23.1203,-134.9692,People ThankYou
7,Arraial Do Cabo,BR,73.26,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
9,Erzin,TR,75.92,clear sky,36.9559,36.2,Artemis Otel
10,Faanui,PF,77.94,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
11,Hilo,US,81.25,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
14,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
18,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
19,Hervey Bay,AU,76.03,clear sky,-25.2986,152.8535,Shelly Bay Resort
21,Jamestown,US,74.52,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
22,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
24,Pontes E Lacerda,BR,87.48,clear sky,-15.2261,-59.3353,Hotel Bressan
26,Port Alfred,ZA,60.8,broken clouds,-33.5906,26.891,The Halyards Hotel
32,Roblin,CA,60.26,overcast clouds,51.23,-101.3565,Harvest Moon Inn
33,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
36,The Valley,AI,80.82,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
39,Yulara,AU,62.44,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
40,Inhambane,MZ,65.8,clear sky,-23.865,35.3833,Oceano
41,Ouro Preto Do Oeste,BR,86.59,broken clouds,-10.7481,-62.2158,Graúna Resort Hotel
42,Atar,MR,87.76,broken clouds,20.5169,-13.0499,Oumou Elghoura
43,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
44,Cidreira,BR,66.6,heavy intensity rain,-30.1811,-50.2056,Hotel Castelo
45,Butaritari,KI,83.05,broken clouds,3.0707,172.7902,Isles Sunset Lodge
47,Ipora,BR,82.53,few clouds,-16.4419,-51.1178,Oásis Motel
49,Santa Cruz De La Palma,ES,73.54,few clouds,28.6835,-17.7642,H10 Taburiente Playa
52,Grand Gaube,MU,70.2,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
55,Biak,ID,77.77,broken clouds,-0.9131,122.8766,Penginapan Kim
56,Coos Bay,US,70.32,clear sky,43.3665,-124.2179,Best Western Holiday Hotel
57,Acu,BR,82.22,overcast clouds,-5.5767,-36.9086,Hotel Oásis
59,Katsuura,JP,69.91,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
62,Hede,CN,72.99,light rain,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
65,Eureka,US,72.75,scattered clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
66,Akyab,MM,78.62,overcast clouds,20.15,92.9,Hotel Memory
67,Kavaratti,IN,81.45,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
68,Sao Felix Do Xingu,BR,81.75,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
69,Mitsamiouli,KM,76.15,clear sky,-11.3847,43.2844,Foyer ADM
70,Kropotkin,RU,62.2,overcast clouds,45.4375,40.5756,Hotel Europe Kropotkin
73,Ponta Do Sol,PT,74.03,overcast clouds,32.6667,-17.1,Hotel do Campo
75,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
